first_name,last_name,email,password,birthday
Богданна,Перепелиця,abashpolchenko@meta.ua,%plku6TtSUNFuGmC5b^FNYx0@,1977-01-10
Василь,Журавель,riarema@ukr.net,!1^yniAabve)EY+&b7PLHci4A,1963-02-11
Орест,Зінкевич,yperebyinis@email.ua,!!$oo_GiKEhbE6$V6wP@bA6R1,1968-02-23
Захар,Дергач,bohodarmykhaliuk@email.ua,$%iEI&w&16%ma7cvITY32eBI),1983-03-02
Вадим,Каденюк,erika64@ukr.net,j8pMz63ru_5eFt37h#pb4Ss2$,1991-09-22
Оксана,Романець,opanasbabko@meta.ua,8(8_CMGkCOTd!$u*!vR5kRbra,1971-12-18
Левко,Адаменко,adam93@gov.ua,E3O@pzzTAFM0i&w#u_wFSKE*%,1961-05-28
Валерій,Товстоліс,kabaliukeduard@email.ua,OC15OW^4M%+bAkUk@R!WvTC3N,2001-01-12
Григорій,Притула,niefymenko@meta.ua,Y4R86Im@Lup+*@qzG(n!Vh%k*,2003-03-14
Яків,Вернидуб,barabashtereza@i.ua,&iF0p^rYV1v*7DL8_VNY2!35f,1999-04-04
